document_ID,firm_ID,time_of_earning_call
1.F,A,2013 Q1
2.F,A,2013 Q2
3.F,A,2013 Q3
4.F,A,2013 Q4
5.F,A,2014 Q1
6.F,A,2014 Q2
7.F,A,2014 Q3
8.F,A,2014 Q4
9.F,A,2015 Q1
10.F,A,2015 Q2
11.F,A,2015 Q3
12.F,A,2015 Q4
13.F,A,2016 Q1
14.F,A,2016 Q2
15.F,A,2016 Q4
16.F,A,2017 Q1
17.F,A,2017 Q2
18.F,A,2017 Q4
19.F,A,2018 Q1
20.F,A,2018 Q2
21.F,A,2018 Q3
22.F,A,2018 Q4
23.F,A,2019 Q1
24.F,A,2019 Q2
25.F,A,2019 Q3
26.F,A,2019 Q4
27.F,A,2020 Q1
28.F,A,2020 Q2
29.F,A,2020 Q3
30.F,A,2020 Q4
31.F,A,2021 Q1
32.F,A,2021 Q2
33.F,A,2021 Q3
34.F,A,2021 Q4
35.F,A,2022 Q1
36.F,A,2022 Q2
37.F,A,2022 Q3
38.F,A,2022 Q4
39.F,A,2023 Q1
40.F,A,2023 Q2
41.F,A,2023 Q3
42.F,A,2023 Q4
43.F,AAL,2013 Q1
44.F,AAL,2013 Q2
45.F,AAL,2013 Q3
46.F,AAL,2014 Q2
47.F,AAL,2014 Q4
48.F,AAL,2015 Q1
49.F,AAL,2015 Q2
50.F,AAL,2015 Q3
51.F,AAL,2015 Q4
52.F,AAL,2016 Q1
53.F,AAL,2016 Q2
54.F,AAL,2016 Q3
55.F,AAL,2016 Q4
56.F,AAL,2017 Q1
57.F,AAL,2017 Q2
58.F,AAL,2017 Q3
59.F,AAL,2017 Q4
60.F,AAL,2018 Q1
61.F,AAL,2018 Q2
62.F,AAL,2018 Q3
63.F,AAL,2018 Q4
64.F,AAL,2019 Q1
65.F,AAL,2019 Q2
66.F,AAL,2019 Q3
67.F,AAL,2019 Q4
68.F,AAL,2020 Q1
69.F,AAL,2020 Q2
70.F,AAL,2020 Q3
71.F,AAL,2020 Q4
72.F,AAL,2021 Q1
73.F,AAL,2021 Q2
74.F,AAL,2021 Q3
75.F,AAL,2021 Q4
76.F,AAL,2022 Q1
77.F,AAL,2022 Q2
78.F,AAL,2022 Q3
79.F,AAL,2022 Q4
80.F,AAL,2023 Q1
81.F,AAL,2023 Q2
82.F,AAL,2023 Q3
83.F,AAL,2023 Q4
84.F,AAPL,2013 Q1
85.F,AAPL,2013 Q2
86.F,AAPL,2013 Q3
87.F,AAPL,2013 Q4
88.F,AAPL,2014 Q1
89.F,AAPL,2014 Q2
